method,seed,trial_id,freezing_ratio,learning_rate,dropout_rate,l2_reg,optimizer,batch_size,val_accuracy,test_accuracy,best_epoch,total_epochs,training_time_seconds,timestamp
genetic_algorithm,1,2,0.9,1e-05,0.4,0.01,sgd,8,0.33476394414901733,0.30603447556495667,33,40,66.9,2026-05-28T19:46:55.007631
genetic_algorithm,1,3,0.99,0.0005,0.3,0.05,adam,32,0.8798283338546753,0.9008620977401733,23,34,57.8,2026-05-28T19:47:57.031079
genetic_algorithm,1,4,0.7,0.0001,0.0,0.001,adam,32,0.9270386099815369,0.931034505367279,17,28,66.0,2026-05-28T19:49:07.028961
genetic_algorithm,1,5,0.95,1e-05,0.4,0.05,adam,16,0.6866952776908875,0.7025862336158752,32,40,67.7,2026-05-28T19:50:18.954138
genetic_algorithm,1,6,0.99,1e-05,0.5,0.002,adamw,16,0.6437768340110779,0.6206896305084229,33,40,66.5,2026-05-28T19:51:29.656678
genetic_algorithm,1,7,0.95,5e-05,0.3,0.002,sgd,8,0.6566523313522339,0.6163793206214905,31,40,65.1,2026-05-28T19:52:36.652928
genetic_algorithm,1,8,0.9,0.0001,0.0,0.01,sgd,32,0.545064389705658,0.5258620977401733,30,40,67.0,2026-05-28T19:53:48.017091
genetic_algorithm,1,9,0.7,5e-05,0.6,0.05,adamw,8,0.9184549450874329,0.931034505367279,20,31,67.8,2026-05-28T19:54:57.593725
genetic_algorithm,1,10,0.95,0.0001,0.4,0.001,adam,32,0.8969957232475281,0.8793103694915771,24,35,60.8,2026-05-28T19:56:02.955469
genetic_algorithm,1,11,0.9,0.0005,0.5,0.01,adam,8,0.9270386099815369,0.9137930870056152,4,15,39.0,2026-05-28T19:56:44.285886
genetic_algorithm,1,12,0.7,0.0005,0.3,0.05,adam,32,0.9399141669273376,0.9267241358757019,14,25,61.4,2026-05-28T19:57:50.543769
genetic_algorithm,1,13,0.7,0.0005,0.3,0.005,adam,16,0.9399141669273376,0.9267241358757019,13,24,378.2,2026-05-28T20:31:48.617025
genetic_algorithm,1,14,0.8,0.001,0.0,0.02,adam,32,0.9184549450874329,0.9482758641242981,12,23,301.7,2026-05-28T20:36:55.562641
genetic_algorithm,1,15,0.7,0.0005,0.3,0.05,adam,16,0.9356223344802856,0.9482758641242981,37,40,106.9,2026-05-28T20:56:32.669496
